scopus_id,identity,doi,title,year,journal,article_url,current_geography,credited_author_ids,credited_researchers,n_credited_pool_authors,n_top50_total_authors,n_top50_us_authors,n_total_leaders_including_cutoff_ties,top50_tied_pairs_broken_if_us,top50_new_ties_if_us,leader114_tied_pairs_broken_if_us,leader114_new_ties_if_us,pool120_tied_pairs_broken_if_us,pool120_new_ties_if_us,maximum_current_us_count,minimum_current_total_rank,available_historical_inbox_pdf,user_download_status,existing_followup,prior_automatic_acquisition_status,latest_priority_round_status,prior_open_location_url,review_action,interpretation,new_top50_tied_pairs_covered_at_selection,queue_position,download_batch,download_position,suggested_filename
84920264253,doi:10.1016/j.socscimed.2014.12.010,10.1016/j.socscimed.2014.12.010,Portraying mental illness and drug addiction as treatable health conditions: Effects of a randomized experiment on stigma and discrimination,2015,Social Science and Medicine,https://doi.org/10.1016/j.socscimed.2014.12.010,unclear,8967284700,Barry C.L.,1,0,0,1,0,8,10,8,12,8,4,83,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,156,6,57,84920264253.pdf
84928809792,doi:10.1093/poq/nfu038,10.1093/poq/nfu038,Issue-based negativity and candidate assessment,2014,Public Opinion Quarterly,https://doi.org/10.1093/poq/nfu038,unclear,56180409500,Banda K.K.,1,0,0,1,0,8,10,8,12,8,4,53,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,157,6,58,84928809792.pdf
85045027073,doi:10.1177/1065912918760729,10.1177/1065912918760729,"Issue Scales, Information Cues, and the Proximity and Directional Models of Voter Choice",2018,Political Research Quarterly,https://doi.org/10.1177/1065912918760729,unclear,56180409500,Banda K.K.,1,0,0,1,0,8,10,8,12,8,4,53,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,161,6,59,85045027073.pdf
85068611268,doi:10.1177/1532673x19858002,10.1177/1532673x19858002,Evidence of Conflict Extension in Partisans’ Evaluations of People and Inanimate Objects,2020,American Politics Research,https://doi.org/10.1177/1532673x19858002,unclear,56180409500,Banda K.K.,1,0,0,1,0,8,10,8,12,8,4,53,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,162,6,60,85068611268.pdf
85071449219,doi:10.1177/1354068819869901,10.1177/1354068819869901,Issue ownership cues and candidate support,2021,Party Politics,https://doi.org/10.1177/1354068819869901,unclear,56180409500,Banda K.K.,1,0,0,1,0,8,10,8,12,8,4,53,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,163,7,61,85071449219.pdf
85122303516,doi:10.1093/abm/kaab069,10.1093/abm/kaab069,Effects of Prior Exposure to Conflicting Health Information on Responses to Subsequent Unrelated Health Messages: Results from a Population-Based Longitudinal Experiment,2022,Annals of Behavioral Medicine,https://doi.org/10.1093/abm/kaab069,unclear,35727190200,Nagler R.H.,1,0,0,1,0,8,10,8,12,8,4,83,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,165,7,62,85122303516.pdf
85147352823,doi:10.1016/j.comppsych.2023.152365,10.1016/j.comppsych.2023.152365,"Views about neuromodulation interventions for depression by stakeholder group, treatment modality, and depression severity",2023,Comprehensive Psychiatry,https://doi.org/10.1016/j.comppsych.2023.152365,unclear,55319086800,Cabrera L.Y.,1,0,0,1,0,8,10,8,12,8,4,53,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,168,7,63,85147352823.pdf
85179785954,doi:10.1016/j.jpsychires.2023.12.013,10.1016/j.jpsychires.2023.12.013,The differential effects of psychiatrists' and patients’ prior experiences on views about psychiatric electroceutical interventions,2024,Journal of Psychiatric Research,https://doi.org/10.1016/j.jpsychires.2023.12.013,unclear,55319086800,Cabrera L.Y.,1,0,0,1,0,8,10,8,12,8,4,53,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,170,7,64,85179785954.pdf
85190156129,doi:10.1097/mlr.0000000000001993,10.1097/mlr.0000000000001993,Development and Evaluation of Messages for Reducing Overscreening of Breast Cancer in Older Women,2024,Medical Care,https://doi.org/10.1097/mlr.0000000000001993,unclear,35727190200,Nagler R.H.,1,0,0,1,0,8,10,8,12,8,4,83,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,171,7,65,85190156129.pdf
85194978458,doi:10.1097/yct.0000000000000990,10.1097/yct.0000000000000990,"Perceived barriers to using neurostimulation: A national survey of psychiatrists, patients, caregivers, and the general public",2024,Journal of ECT,https://doi.org/10.1097/yct.0000000000000990,unclear,55319086800,Cabrera L.Y.,1,0,0,1,0,8,10,8,12,8,4,53,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,172,7,66,85194978458.pdf
85206878187,doi:10.1007/s12152-024-09573-2,10.1007/s12152-024-09573-2,Is the Treatment Worse than the Disease?: Key Stakeholders’ Views about the Use of Psychiatric Electroceutical Interventions for Treatment-Resistant Depression,2025,Neuroethics,https://doi.org/10.1007/s12152-024-09573-2,unclear,55319086800,Cabrera L.Y.,1,0,0,1,0,8,10,8,12,8,4,53,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,0,174,7,67,85206878187.pdf
