queue_position,batch,scopus_id,suggested_filename,title,year,journal,doi,article_url,credited_researchers,n_credited_researchers,rationale,question,requested_evidence,openalex_id,oa_status,acquisition_status,source_url,source_sha256,identity_check,checked_at,n_attempted_urls,open_location_found,open_location_url,reason,downloaded_filename,pdf_kind
44,5,85097264174,85097264174.pdf,Mapping the Production and Mobilization Functions of Collective Action,2020,Socius,10.1177/2378023120977722,https://doi.org/10.1177/2378023120977722,Blaine G. Robbins,1,University students without country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W3111751986,gold,manual_download_needed,,,,2026-09-09T12:54:41.293749+00:00,3,true,https://journals.sagepub.com/doi/pdf/10.1177/2378023120977722,"Open location indexed, but no verified PDF could be downloaded automatically",,
45,5,105008067194,105008067194.pdf,"Affect, Efficacy, and Protest Intentions: Testing a Multilevel, Dual-Pathway Model of Collective Action",2025,Social Psychology Quarterly,10.1177/01902725251331032,https://doi.org/10.1177/01902725251331032,Blaine G. Robbins,1,random university sample without country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W4410717440,closed,manual_download_needed,,,,2026-09-09T12:54:41.295060+00:00,0,false,,No open location found in the checked metadata; manual search or institutional access may succeed,,
46,5,85175473443,85175473443.pdf,How do Voters Form Perceptions of Party Positions?,2023,British Journal of Political Science,10.1017/S0007123422000746,https://doi.org/10.1017/S0007123422000746,Markus Wagner,1,Population-based experiments without countries.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W4320918891,hybrid,downloaded_open_copy,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/88AFC9BC1B46E6D06E75AED0859C2C10/S0007123422000746a.pdf/div-class-title-how-do-voters-form-perceptions-of-party-positions-div.pdf,36607c1742fe7e468e7f4e810925549b90c2088ce024233e9b15d2bfa0c1d4d9,title_match_in_first_three_pages,2026-09-09T12:45:27.985658+00:00,1,true,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/88AFC9BC1B46E6D06E75AED0859C2C10/S0007123422000746a.pdf/div-class-title-how-do-voters-form-perceptions-of-party-positions-div.pdf,PDF acquired; geography review pending,85175473443.pdf,article_or_manuscript
47,5,85193819898,85193819898.pdf,Social Group Appeals in Party Rhetoric: Effects on Policy Support and Polarization,2024,Journal of Politics,10.1086/729946,https://doi.org/10.1086/729946,Markus Wagner,1,Party rhetoric without sample country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W4391874253,green,manual_download_needed,,,,2026-09-09T12:54:41.296560+00:00,1,true,https://madoc.bib.uni-mannheim.de/66750/,"Open location indexed, but no verified PDF could be downloaded automatically",,
48,5,85064539825,85064539825.pdf,On the Meaning of Survey Reports of Roll-Call “Votes”,2019,American Journal of Political Science,10.1111/ajps.12430,https://doi.org/10.1111/ajps.12430,Gregory A. Huber,1,Roll-call votes and Supreme Court without named country; these institutions are not unique to US.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W2939880936,green,manual_download_needed,,,,2026-09-09T12:54:41.299397+00:00,2,true,https://escholarship.org/content/qt8fn2717w/qt8fn2717w.pdf?t=pxcpha,"Open location indexed, but no verified PDF could be downloaded automatically",,
49,5,85208657819,85208657819.pdf,How and when candidate race affects inferences about ideology and group favoritism,2025,Political Science Research and Methods,10.1017/psrm.2024.50,https://doi.org/10.1017/psrm.2024.50,Gregory A. Huber,1,Candidate race without country-specific sampling information.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W4403904064,hybrid,manual_download_needed,,,,2026-09-09T12:54:41.300497+00:00,3,true,https://doi.org/10.1017/psrm.2024.50,"Open location indexed, but no verified PDF could be downloaded automatically",,
50,5,105007228428,105007228428.pdf,Seeing the state in action: Public preferences about and judgments of common police–civilian interactions,2025,Criminology,10.1111/1745-9125.12403,https://doi.org/10.1111/1745-9125.12403,Gregory A. Huber,1,Police-civilian interaction experiments without country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W4410922539,hybrid,manual_download_needed,,,,2026-09-09T12:54:41.320603+00:00,2,true,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1745-9125.12403,"Open location indexed, but no verified PDF could be downloaded automatically",,
51,6,84901037027,84901037027.pdf,The Influence of Partisan Motivated Reasoning on Public Opinion,2014,Political Behavior,10.1007/s11109-013-9238-0,https://doi.org/10.1007/s11109-013-9238-0,Toby Bolsen,1,Party motivation and an unnamed energy law do not locate respondents.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W2056426645,closed,downloaded_open_copy,https://faculty.wcas.northwestern.edu/jnd260/pub/Bolsen%20Druckman%20Cook%20PBehavior%202013.pdf,546b18bc27792fbf9d46cb9ed3274ed39c1c2e38312aaeab6223bf98f7f500fa,title_match_in_first_three_pages,2026-09-09T12:50:17.677121+00:00,1,true,https://faculty.wcas.northwestern.edu/jnd260/pub/Bolsen%20Druckman%20Cook%20PBehavior%202013.pdf,PDF acquired; geography review pending,84901037027.pdf,article_or_manuscript
52,6,85062719018,85062719018.pdf,Counteracting Climate Science Politicization With Effective Frames and Imagery,2019,Science Communication,10.1177/1075547019834565,https://doi.org/10.1177/1075547019834565,Toby Bolsen,1,Climate change experiment without country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W2919979917,green,manual_download_needed,,,,2026-09-09T12:54:41.324866+00:00,1,true,https://scholarworks.gsu.edu/urban_studies_institute/51,"Open location indexed, but no verified PDF could be downloaded automatically",,
53,6,84957805398,84957805398.pdf,"Emotional, Sensitive, and Unfit for Office? Gender Stereotype Activation and Support Female Candidates",2015,Political Psychology,10.1111/pops.12186,https://doi.org/10.1111/pops.12186,Nichole M. Bauer,1,Female-candidate stereotypes do not locate the experimental respondents.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W1875588004,closed,manual_download_needed,,,,2026-09-09T12:54:41.328033+00:00,0,false,,No open location found in the checked metadata; manual search or institutional access may succeed,,
54,6,85043332442,85043332442.pdf,Visual Information and Candidate Evaluations: The Influence of Feminine and Masculine Images on Support for Female Candidates,2018,Political Research Quarterly,10.1177/1065912917738579,https://doi.org/10.1177/1065912917738579,Nichole M. Bauer,1,Candidate images and gender without country-specific context.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W2771050970,closed,manual_download_needed,,,,2026-09-09T12:54:41.328717+00:00,0,false,,No open location found in the checked metadata; manual search or institutional access may succeed,,
55,6,85076027417,85076027417.pdf,Shifting standards: How voters evaluate the qualifications of female and male candidates,2020,Journal of Politics,10.1086/705817,https://doi.org/10.1086/705817,Nichole M. Bauer,1,Candidate qualifications without country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W2968337687,green,manual_download_needed,,,,2026-09-09T12:54:41.329286+00:00,1,true,https://repository.lsu.edu/polisci_pubs/50,"Open location indexed, but no verified PDF could be downloaded automatically",,
56,6,85101803291,85101803291.pdf,Candidate Aggression and Gendered Voter Evaluations,2022,Political Psychology,10.1111/pops.12737,https://doi.org/10.1111/pops.12737,Nichole M. Bauer,1,Candidate aggression without country-specific context.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W3135908522,green,manual_download_needed,,,,2026-09-09T12:54:41.335579+00:00,2,true,https://digitalcommons.lsu.edu/manship_pubs/9,"Open location indexed, but no verified PDF could be downloaded automatically",,
57,6,84940214050,84940214050.pdf,Activating the Forces of Public Service Motivation: Evidence from a Low-Intensity Randomized Survey Experiment,2015,Public Administration Review,10.1111/puar.12325,https://doi.org/10.1111/puar.12325,Mogens Jin Pedersen,1,The law students' country is unspecified.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W1994681053,closed,manual_download_needed,,,,2026-09-09T12:54:41.353723+00:00,0,false,,No open location found in the checked metadata; manual search or institutional access may succeed,,
58,6,84975770291,84975770291.pdf,Improving Survey Response Rates in Online Panels: Effects of Low-Cost Incentives and Cost-Free Text Appeal Interventions,2016,Social Science Computer Review,10.1177/0894439314563916,https://doi.org/10.1177/0894439314563916,Mogens Jin Pedersen,1,Online panel location unstated.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W2020371192,green,manual_download_needed,,,,2026-09-09T12:54:41.354737+00:00,3,true,https://eprints.lse.ac.uk/67240/1/Nielsen_Improving%20survey%20response_2016.pdf,"Open location indexed, but no verified PDF could be downloaded automatically",,
59,6,85040459526,85040459526.pdf,More Similar Than Different: Experimental Evidence on the (In) Significance of Gender for the Effect of Different Incentives on Compliance Behavior,2018,Administration and Society,10.1177/0095399715584638,https://doi.org/10.1177/0095399715584638,Mogens Jin Pedersen,1,Adult population without country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W2322677053,gold,manual_download_needed,,,,2026-09-09T12:54:41.360696+00:00,2,true,https://pure.au.dk/portal/en/publications/671be3d0-3209-4155-b48e-7ad3a82c7ed0,"Open location indexed, but no verified PDF could be downloaded automatically",,
60,6,84894591630,84894591630.pdf,With a little help from my friends: Bystander context and children's attitude toward peer helping,2014,Journal of Social Psychology,10.1080/00224545.2013.872595,https://doi.org/10.1080/00224545.2013.872595,Maykel Verkuyten,1,The children's country is unspecified.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W2051415558,closed,manual_download_needed,,,,2026-09-09T12:54:41.365080+00:00,0,false,,No open location found in the checked metadata; manual search or institutional access may succeed,,
61,7,84922551432,84922551432.pdf,In-group bias in children's intention to help can be overpowered by inducing empathy,2015,British Journal of Developmental Psychology,10.1111/bjdp.12065,https://doi.org/10.1111/bjdp.12065,Maykel Verkuyten,1,No country is specified for the participating children.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W2029485441,bronze,manual_download_needed,,,,2026-09-09T12:54:41.365834+00:00,2,true,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/bjdp.12065,"Open location indexed, but no verified PDF could be downloaded automatically",,
62,7,84943817918,84943817918.pdf,First Arrival and Collective Land Ownership: How Children Reason About Who Owns the Land,2015,Social Development,10.1111/sode.12128,https://doi.org/10.1111/sode.12128,Maykel Verkuyten,1,The child participants' country is unspecified.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W1957043652,closed,manual_download_needed,,,,2026-09-09T12:54:41.366794+00:00,0,false,,No open location found in the checked metadata; manual search or institutional access may succeed,,
63,7,85113817293,85113817293.pdf,The effects of negative and positive information on attitudes towards immigration,2022,International Migration,10.1111/imig.12916,https://doi.org/10.1111/imig.12916,Yoshikuni Ono,1,Immigration experiment without country-specific sampling information.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W3197813419,closed,manual_download_needed,,,,2026-09-09T12:54:41.367571+00:00,0,false,,No open location found in the checked metadata; manual search or institutional access may succeed,,
64,7,85129159055,85129159055.pdf,Why do citizens prefer high-skilled immigrants to low-skilled immigrants? Identifying causal mechanisms of immigration preferences with a survey experiment,2022,Research and Politics,10.1177/20531680221091439,https://doi.org/10.1177/20531680221091439,Yoshikuni Ono,1,Immigration experiment without sample country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W4224990559,gold,manual_download_needed,,,,2026-09-09T12:54:41.368225+00:00,1,true,https://doi.org/10.1177/20531680221091439,"Open location indexed, but no verified PDF could be downloaded automatically",,
65,7,105040509962,105040509962.pdf,Voting for gender balancing? The effect of a multiple-vote system on women’s representation,2026,Political Science Research and Methods,10.1017/psrm.2026.10108,https://doi.org/10.1017/psrm.2026.10108,Yoshikuni Ono,1,Local election experiment without country-specific context.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W7162772322,gold,downloaded_open_copy,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/AA2804DE331A222E19ED076C80AB05D0/S2049847026101083a.pdf/voting-for-gender-balancing-the-effect-of-a-multiple-vote-system-on-womens-representation.pdf,5c229eb6465c63b514e3e83cbd270ffea252318d6cd05a2d407126f2616dd502,title_match_in_first_three_pages,2026-09-09T12:50:19.083887+00:00,3,true,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/AA2804DE331A222E19ED076C80AB05D0/S2049847026101083a.pdf/div-class-title-voting-for-gender-balancing-the-effect-of-a-multiple-vote-system-on-women-s-representation-div.pdf,PDF acquired; geography review pending,105040509962.pdf,article_or_manuscript
66,7,85084324260,85084324260.pdf,Men’s Overpersistence and the Gender Gap in Science and Mathematics,2019,Socius,10.1177/2378023118821836,https://doi.org/10.1177/2378023118821836,Robb Willer,1,National longitudinal survey and diverse adult sample without countries.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W2921650383,gold,manual_download_needed,,,,2026-09-09T12:54:41.370057+00:00,1,true,https://doi.org/10.1177/2378023118821836,"Open location indexed, but no verified PDF could be downloaded automatically",,
67,7,85012118612,85012118612.pdf,The conditional nature of the local warming effect,2017,Weather Climate and Society,10.1175/WCAS-D-16-0012.1,https://doi.org/10.1175/WCAS-D-16-0012.1,James N. Druckman,1,No country-specific sampling information.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W2517492843,closed,manual_download_needed,,,,2026-09-09T12:54:41.371014+00:00,0,false,,No open location found in the checked metadata; manual search or institutional access may succeed,,
68,7,105008461820,105008461820.pdf,The Effects of Forecasts on the Accuracy and Precision of Expectations,2025,Public Opinion Quarterly,10.1093/poq/nfaf003,https://doi.org/10.1093/poq/nfaf003,Jason Reifler,1,French election is treatment topic; respondent nationality or residence unstated.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W4410222389,hybrid,manual_download_needed,,,,2026-09-09T17:10:37.211634+00:00,8,true,https://academic.oup.com/poq/advance-article-pdf/doi/10.1093/poq/nfaf003/63139228/nfaf003.pdf,"Open location indexed, but no verified PDF could be downloaded automatically",,
69,7,80054939891,80054939891.pdf,Are financial or moral scandals worse? It depends,2011,PS Political Science and Politics,10.1017/S1049096511001247,https://doi.org/10.1017/S1049096511001247,David Doherty,1,The country of the national survey is unspecified.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W2144368169,closed,manual_download_needed,,,,2026-09-09T12:54:41.381845+00:00,0,false,,No open location found in the checked metadata; manual search or institutional access may succeed,,
70,7,84945247501,84945247501.pdf,When is Changing Policy Positions Costly for Politicians? Experimental Evidence,2016,Political Behavior,10.1007/s11109-015-9321-9,https://doi.org/10.1007/s11109-015-9321-9,David Doherty,1,Candidate policy changes without country-specific context.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W2179760937,closed,manual_download_needed,,,,2026-09-09T12:54:41.382408+00:00,0,false,,No open location found in the checked metadata; manual search or institutional access may succeed,,
71,8,85069695771,85069695771.pdf,The Effects of Blaming Others for Legislative Inaction on Individual and Collective Evaluations,2020,Legislative Studies Quarterly,10.1111/lsq.12252,https://doi.org/10.1111/lsq.12252,David Doherty,1,Available metadata does not locate the experimental sample.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W2963868212,closed,manual_download_needed,,,,2026-09-09T12:54:41.383461+00:00,0,false,,No open location found in the checked metadata; manual search or institutional access may succeed,,
72,8,85086600850,85086600850.pdf,Campaign mailers and intent to turnout: Do similar field and survey experiments yield the same conclusions?,2020,Journal of Experimental Political Science,10.1017/XPS.2019.2,https://doi.org/10.1017/XPS.2019.2,David Doherty,1,Available metadata does not locate the experimental sample.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W2915219396,bronze,manual_download_needed,,,,2026-09-09T12:54:41.384030+00:00,4,true,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/376A346318AEA473777DAB812C4A892F/S2052263019000022a.pdf/div-class-title-campaign-mailers-and-intent-to-turnout-do-similar-field-and-survey-experiments-yield-the-same-conclusions-div.pdf,"Open location indexed, but no verified PDF could be downloaded automatically",,
73,8,85122139505,85122139505.pdf,Inferring Intentions from Consequences: How Moral Judgments Shape Citizen Perceptions of Wartime Conduct,2021,Journal of Experimental Political Science,10.1017/XPS.2020.7,https://doi.org/10.1017/XPS.2020.7,Jonathan A. Chu,1,Wartime conduct experiments without sample country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W3096281817,bronze,manual_download_needed,,,,2026-09-09T12:54:41.440761+00:00,4,true,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/C2EF3862F8069A7C411E28285356EB9A/S205226302000007Xa.pdf/div-class-title-inferring-intentions-from-consequences-how-moral-judgments-shape-citizen-perceptions-of-wartime-conduct-div.pdf,"Open location indexed, but no verified PDF could be downloaded automatically",,
74,8,85124121558,85124121558.pdf,Validating Threat: IO Approval and Public Support for Joining Military Counterterrorism Coalitions,2021,International Studies Quarterly,10.1093/isq/sqab032,https://doi.org/10.1093/isq/sqab032,Jonathan A. Chu,1,Three sample countries not named; American reference is a cited prior study.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W3166275085,hybrid,manual_download_needed,,,,2026-09-09T12:54:41.491651+00:00,1,true,https://doi.org/10.1093/isq/sqab032,"Open location indexed, but no verified PDF could be downloaded automatically",,
75,8,85124170048,85124170048.pdf,Liberal Ideology and Foreign Opinion on China,2021,International Studies Quarterly,10.1093/isq/sqab062,https://doi.org/10.1093/isq/sqab062,Jonathan A. Chu,1,Foreign perceptions of China without experiment sample countries.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W3191519121,hybrid,manual_download_needed,,,,2026-09-09T12:54:41.492876+00:00,1,true,https://doi.org/10.1093/isq/sqab062,"Open location indexed, but no verified PDF could be downloaded automatically",,
76,8,85170289998,85170289998.pdf,"Malicious Motives or Innocent Intentions? How Moral Reactions to ""Collateral Damage"" Shape Perceptions of Intent in Wartime Conduct",2023,Foreign Policy Analysis,10.1093/fpa/orad018,https://doi.org/10.1093/fpa/orad018,Jonathan A. Chu,1,Wartime conduct without sample country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W4386126672,closed,manual_download_needed,,,,2026-09-09T12:54:41.493742+00:00,0,false,,No open location found in the checked metadata; manual search or institutional access may succeed,,
77,8,105046220290,105046220290.pdf,Partisanship and Voting Rule Trade-offs,2026,American Politics Research,10.1177/1532673X261470402,https://doi.org/10.1177/1532673X261470402,David Doherty,1,Available metadata does not locate the experimental sample.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W7170106184,bronze,manual_download_needed,,,,2026-09-09T12:54:41.494481+00:00,2,true,https://journals.sagepub.com/doi/pdf/10.1177/1532673X261470402?download=true,"Open location indexed, but no verified PDF could be downloaded automatically",,
78,8,85012122035,85012122035.pdf,The Generalizability of Survey Experiments,2015,Journal of Experimental Political Science,10.1017/XPS.2015.19,https://doi.org/10.1017/XPS.2015.19,Kevin J. Mullinix,1,Neither the convenience samples nor population samples have an explicit country; MTurk alone is insufficient.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W2279053323,bronze,downloaded_open_copy,https://faculty.wcas.northwestern.edu/jnd260/pub/The%20Generalizability%20of%20Survey%20Experiments.pdf,bbf8eb9ce5e27107844597fb38a2ec06e42a412283b5d5e69dad75e77894f4ea,title_match_in_first_three_pages,2026-09-09T12:50:19.944623+00:00,7,true,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/72D4E3DB90569AD7F2D469E9DF3A94CB/S2052263015000196a.pdf/div-class-title-the-generalizability-of-survey-experiments-a-href-afn1-ref-type-fn-a-div.pdf,PDF acquired; geography review pending,85012122035.pdf,article_or_manuscript
79,8,85041603336,85041603336.pdf,Civic Duty and Political Preference Formation,2018,Political Research Quarterly,10.1177/1065912917729037,https://doi.org/10.1177/1065912917729037,Kevin J. Mullinix,1,Tax and education topics not uniquely American.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W2750744913,closed,manual_download_needed,,,,2026-09-09T12:54:41.497857+00:00,0,false,,No open location found in the checked metadata; manual search or institutional access may succeed,,
80,8,85059103503,85059103503.pdf,Information and Issue Constraints on Party Cues,2019,American Politics Research,10.1177/1532673X18803887,https://doi.org/10.1177/1532673X18803887,Kevin J. Mullinix,1,Ideological party cues not uniquely American.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W2896896157,closed,manual_download_needed,,,,2026-09-09T12:54:41.499467+00:00,0,false,,No open location found in the checked metadata; manual search or institutional access may succeed,,
81,9,85106950513,85106950513.pdf,The limited effects of partisan and consensus messaging in correcting science misperceptions,2021,Research and Politics,10.1177/20531680211014980,https://doi.org/10.1177/20531680211014980,Brendan Nyhan,1,Available metadata does not locate the experimental sample.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W3164509637,gold,manual_download_needed,,,,2026-09-09T12:54:41.500057+00:00,2,true,https://doi.org/10.1177/20531680211014980,"Open location indexed, but no verified PDF could be downloaded automatically",,
82,9,85030544249,85030544249.pdf,TOWARD A BIFURCATED THEORY OF EMOTIONAL DETERRENCE,2018,Criminology,10.1111/1745-9125.12153,https://doi.org/10.1111/1745-9125.12153,Justin T. Pickett,1,Nationwide sample without country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W2763341274,closed,manual_download_needed,,,,2026-09-09T12:54:41.501022+00:00,0,false,,No open location found in the checked metadata; manual search or institutional access may succeed,,
83,9,85060884767,85060884767.pdf,"Prospect Theory and Criminal Choice: Experiments Testing Framing, Reference Dependence, and Decision Weights",2020,Justice Quarterly,10.1080/07418825.2018.1531142,https://doi.org/10.1080/07418825.2018.1531142,Justin T. Pickett,1,Three samples without country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W2914347142,closed,manual_download_needed,,,,2026-09-09T12:54:41.501645+00:00,0,false,,No open location found in the checked metadata; manual search or institutional access may succeed,,
84,9,85091202562,85091202562.pdf,Body-Worn Cameras and Transparency: Experimental Evidence of Inconsistency in Police Executive Decision-Making,2022,Justice Quarterly,10.1080/07418825.2020.1821086,https://doi.org/10.1080/07418825.2020.1821086,Justin T. Pickett,1,National police executive sample without country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W3087205096,closed,manual_download_needed,,,,2026-09-09T12:54:41.502385+00:00,0,false,,No open location found in the checked metadata; manual search or institutional access may succeed,,
85,9,84892498539,84892498539.pdf,Causal inference in conjoint analysis: Understanding multidimensional choices via stated preference experiments,2014,Political Analysis,10.1093/pan/mpt024,https://doi.org/10.1093/pan/mpt024,Teppei Yamamoto,1,The reported empirical applications do not locate their participants.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W2745098867,closed,manual_download_needed,,,,2026-09-09T12:54:41.503298+00:00,0,false,,No open location found in the checked metadata; manual search or institutional access may succeed,,
86,9,85041214633,85041214633.pdf,The Number of Choice Tasks and Survey Satisficing in Conjoint Experiments,2018,Political Analysis,10.1017/pan.2017.40,https://doi.org/10.1017/pan.2017.40,Teppei Yamamoto,1,MTurk and SSI vendors do not establish sampling country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W2590583519,bronze,manual_download_needed,,,,2026-09-09T12:54:41.503995+00:00,3,true,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/5BBACB75CF59C10E1B42AB20D9F085F0/S1047198717000407a.pdf/div-class-title-the-number-of-choice-tasks-and-survey-satisficing-in-conjoint-experiments-div.pdf,"Open location indexed, but no verified PDF could be downloaded automatically",,
87,9,85172870189,85172870189.pdf,Media Measurement Matters: Estimating the Persuasive Effects of Partisan Media with Survey and Behavioral Data,2023,Journal of Politics,10.1086/724960,https://doi.org/10.1086/724960,Teppei Yamamoto,1,Available metadata does not locate the experimental sample.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W4324132796,closed,manual_download_needed,,,,2026-09-09T12:54:41.522828+00:00,0,false,,No open location found in the checked metadata; manual search or institutional access may succeed,,
88,9,105001181982,105001181982.pdf,Priming Bias Versus Post-Treatment Bias in Experimental Designs,2025,Political Analysis,10.1017/pan.2025.3,https://doi.org/10.1017/pan.2025.3,Teppei Yamamoto,1,Available metadata does not locate the experimental sample.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W4408701128,closed,manual_download_needed,,,,2026-09-09T12:54:41.523361+00:00,0,false,,No open location found in the checked metadata; manual search or institutional access may succeed,,
89,9,84887527789,84887527789.pdf,"Religious Value Priming, Threat, and Political Tolerance",2013,Political Research Quarterly,10.1177/1065912912471203,https://doi.org/10.1177/1065912912471203,Brian R. Calfano,1,Religious values and tolerance do not identify respondent geography.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W2001655336,closed,manual_download_needed,,,,2026-09-09T12:54:41.524007+00:00,0,false,,No open location found in the checked metadata; manual search or institutional access may succeed,,
90,9,85046533072,85046533072.pdf,A dispositional theory of reputation costs,2018,International Organization,10.1017/S0020818318000188,https://doi.org/10.1017/S0020818318000188,Ryan Brutger,1,Foreign policy predispositions not uniquely American.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W2800079906,closed,downloaded_open_copy,https://jkertzer.sites.fas.harvard.edu/Research_files/Brutger%20and%20Kertzer%202018.pdf,ff01574ba12a826a576e738a9f401f2c6985871db1eba340910f85f7a75ddaa6,title_match_in_first_three_pages,2026-09-09T17:10:37.211983+00:00,1,true,https://jkertzer.sites.fas.harvard.edu/Research_files/Brutger%20and%20Kertzer%202018.pdf,PDF acquired; geography review pending,85046533072.pdf,article_or_manuscript
